Name,Email,Phone Number,Alternate Mobile Number,Address,Date of Birth,Location
John Doe,john@example.com,123-456-7890,,123 Elm St.,01/01/1990,canada
Jane Smith,jane@example.com,098-765-4321,9876543210.0,456 Oak St.,02/02/1985,iran
Alice Johnson,alice@example.com,555-555-5555,,789 Pine St.,03/03/1970,irac
Robert Brown,robert@example.com,222-333-4444,9123456789.0,101 Maple St.,04/04/1980,
Emily Davis,emily@example.com,999-888-7777,,202 Birch St.,05/05/1995,
Michael Wilson,michael@example.com,444-555-6666,9988776655.0,303 Cedar St.,06/06/1992,
Jessica Garcia,jessica@example.com,111-222-3333,,404 Walnut St.,07/07/1988,
William Miller,william@example.com,777-888-9999,8765432109.0,505 Cherry St.,08/08/1991,
Sophia Martinez,sophia@example.com,888-999-0000,,606 Spruce St.,09/09/1993,
James Anderson,james@example.com,666-777-8888,8877665544.0,707 Fir St.,10/10/1987,
Linda Thompson,linda@example.com,333-444-5555,,808 Poplar St.,11/11/1989,jbw
David Harris,david@example.com,555-666-7777,,909 Redwood St.,12/12/1994,
Mary Clark,mary@example.com,000-111-2222,,100 Ash St.,01/01/1983,
Richard Lewis,richard@example.com,444-333-2222,,111 Beech St.,02/02/1986,
Patricia Lee,patricia@example.com,666-999-8888,,222 Hemlock St.,03/03/1984,
